" ",,,"Outcome: Transphobia"
"Variable","β","SE","p"
"Feminist self-identification","−0.42","0.05","<.001"
"Liberal feminist attitudes and ideology (LFAIS)","−0.25","0.09","0.002"
"Sexual fidelity","0.16","0.07","0.01"
"Sweet and nice","−0.12","0.08","0.09"
"Care for children","0.11","0.06","0.10"
"Self-rated femininity","0.07","0.09","0.26"
"Thinness","0.05","0.06","0.39"
"Invest in appearance","0.03","0.06","0.64"
"Domestic","0.03","0.06","0.68"
"Romantic relations","0.02","0.07","0.73"
"Modesty","0.00","0.07","0.97"
"Relational","0.00","0.06","1.00"
"R2 = .55"," "," "," "